Sortiernummer,Ebene0 Name,Ebene1 Kode,Ebene1 Name,Ebene 2 Kode,Ebene2 Name,Ebene3 Kode,Ebene3 Name,Ebene4 Kode,Ebene4 Name,Ebene5 Kode,Ebene5 Name,Ebene6 Kode,Ebene6 Name,IRIS Hierarchie Art,IRIS Hierarchie Nr,Kulturkürzel,Code (Antrag),Notiz,Nutzung1 ,Code1,Nutzung2,Code2,Nutzung3,Code3,Nutzung4,Code4,Nutzung5,Code5,Leguminose (ÖVF)
40,Hauptfrucht,NNNFW,"Wiesen, Weiden",NNNFW,"Wiesen, Weiden",NNNFW,"Wiesen, Weiden",NNNFW,"Wiesen, Weiden",NNNFW,"Wiesen, Weiden",NNNFW,"Wiesen, Weiden",Hauptgruppe,5032,,,,Wiesen,451,Weiden,453,Wiesen (Grünlandneueinsaat weniger als 5 jahre zurückliegend),441,Weiden (Grünlandneueinsaat weniger als 5 jahre zurückliegend),443,,,
41,Hauptfrucht,NNNGD,Gründüngungspflanzen,NNNGD,Gründüngungspflanzen,NNNGD,Gründüngungspflanzen,NNNGD,Gründüngungspflanzen,NNNGD,Gründüngungspflanzen,NNNGD,Gründüngungspflanzen,,,,,,,,,,,,,,,,
42,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,NNNVS,Sprossgemüse,ASPOF,Spargel,ASPOB,Bleichspargel,ASPOB,Bleichspargel,,,SPA,860,,,,,,,,,,,,
43,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,NNNVS,Sprossgemüse,ASPOF,Spargel,ASPOG,Grünspargel,ASPOG,Grünspargel,,,SPA,860,,,,,,,,,,,,
44,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,NNNVS,Sprossgemüse,ALLPO,Porree,ALLPO,Porree,ALLPO,Porree,,,PO,610,,,,,,,,,,,,
45,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,NNNVS,Sprossgemüse,APUGD,Staudensellerie,APUGD,Staudensellerie,APUGD,Staudensellerie,,,,610,,,,,,,,,,,,
46,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,NNNVS,Sprossgemüse,RHERH,Rhabarber,RHERH,Rhabarber,RHERH,Rhabarber,,,,851,,,,,,,,,,,,
47,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,NNNSZ,Zwiebelgemüse,ALLAS,Schalotte,ALLAS,Schalotte,ALLAS,Schalotte,,,,610,,,,,,,,,,,,
48,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,NNNSZ,Zwiebelgemüse,ALLCE,Speisezwiebel,ALLCE,Speisezwiebel,ALLCE,Speisezwiebel,,,Z,610,,,,,,,,,,,,
49,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,NNNSZ,Zwiebelgemüse,ALLSA,Knoblauch,ALLSA,Knoblauch,ALLSA,Knoblauch,,,KNO,610,,,,,,,,,,,,
50,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,NNNVK,Blattgemüse u. fr. Kräuter,NNNVB,Blattgemüse,NNNSA,Spinat u. verwandte Arten,SPQOL,Spinat,,,SPI,610,,,,,,,,,,,,
51,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,NNNVK,Blattgemüse u. fr. Kräuter,NNNVB,Blattgemüse,NNNSS,Salate,VLLLO,Feldsalat,,,SAF,610,,,,,,,,,,,,
52,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,BRSOX ,Kohlgemüse,NNNKB,Blattkohle,BRSOC,Grünkohl,BRSOC,Grünkohl,,,KOG,610,,,,,,,,,,,,
53,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,BRSOX ,Kohlgemüse,NNNKB,Blattkohle,BRSPK,Chinakohl,BRSPK,Chinakohl,,,CHI,610,,,,,,,,,,,,
